month,sp500_monthly_avg
2016-05-01,2065.5916666666667
2016-06-01,2083.8913636363636
2016-07-01,2148.902
2016-08-01,2177.4821739130434
2016-09-01,2157.6909523809527
2016-10-01,2143.0209523809526
2016-11-01,2164.985714285714
2016-12-01,2246.6290476190475
2017-01-01,2275.116
2017-02-01,2329.9105263157894
2017-03-01,2366.822173913043
2017-04-01,2359.3094736842104
2017-05-01,2395.345909090909
2017-06-01,2433.9854545454546
2017-07-01,2454.1025
2017-08-01,2456.223043478261
2017-09-01,2492.841
2017-10-01,2556.997272727273
2017-11-01,2593.6057142857144
2017-12-01,2664.3405
2018-01-01,2789.8038095238094
2018-02-01,2705.1552631578948
2018-03-01,2702.7738095238096
2018-04-01,2653.625238095238
2018-05-01,2701.4936363636366
2018-06-01,2754.3528571428574
2018-07-01,2793.6433333333334
2018-08-01,2857.8204347826086
2018-09-01,2901.5005263157896
2018-10-01,2785.4647826086957
2018-11-01,2723.229523809524
2018-12-01,2567.3073684210526
2019-01-01,2607.3900000000003
2019-02-01,2754.8642105263157
2019-03-01,2803.9838095238097
2019-04-01,2903.8
2019-05-01,2854.7059090909092
2019-06-01,2890.166
2019-07-01,2996.1136363636365
2019-08-01,2897.498181818182
2019-09-01,2982.156
2019-10-01,2977.675217391304
2019-11-01,3104.9044999999996
2019-12-01,3176.749523809524
2020-01-01,3278.202857142857
2020-02-01,3277.314210526316
2020-03-01,2652.3936363636367
2020-04-01,2761.975238095238
2020-05-01,2919.6150000000002
2020-06-01,3104.6609090909087
2020-07-01,3207.6190909090906
2020-08-01,3391.71
2020-09-01,3365.516666666667
2020-10-01,3418.701363636363
2020-11-01,3548.9925000000003
2020-12-01,3695.3100000000004
2021-01-01,3793.748421052632
2021-02-01,3883.432105263158
2021-03-01,3910.508260869565
2021-04-01,4141.176190476191
2021-05-01,4167.8495
2021-06-01,4238.489545454546
2021-07-01,4363.7128571428575
2021-08-01,4454.206363636364
2021-09-01,4445.543333333333
2021-10-01,4460.7071428571435
2021-11-01,4667.386666666666
2021-12-01,4674.772727272727
2022-01-01,4573.8155
2022-02-01,4435.98052631579
2022-03-01,4391.265217391305
2022-04-01,4391.296
2022-05-01,4040.3599999999997
2022-06-01,3898.9466666666667
2022-07-01,3911.7295
2022-08-01,4158.563043478261
2022-09-01,3850.520476190476
2022-10-01,3726.050952380953
2022-11-01,3917.488571428571
2022-12-01,3912.3809523809523
2023-01-01,3960.6565
2023-02-01,4079.684736842105
2023-03-01,3968.5591304347827
2023-04-01,4121.467368421053
2023-05-01,4146.173181818182
2023-06-01,4345.372857142857
2023-07-01,4508.0755
2023-08-01,4457.358695652174
2023-09-01,4409.094999999999
2023-10-01,4269.4009090909085
2023-11-01,4460.0633333333335
2023-12-01,4685.0515
2024-01-01,4804.4914285714285
2024-02-01,5011.961499999999
2024-03-01,5170.5725
2024-04-01,5112.492727272727
2024-05-01,5235.225454545455
2024-06-01,5415.140526315789
2024-07-01,5538.004545454546
2024-08-01,5478.214545454545
2024-09-01,5621.2605
2024-10-01,5792.319565217392
2024-11-01,5929.916
2024-12-01,6010.908571428571
2025-01-01,5979.5154999999995
2025-02-01,6038.69
2025-03-01,5683.983333333333
2025-04-01,5369.495714285715
2025-05-01,5810.9195238095235
2025-06-01,6029.9515
2025-07-01,6296.498181818181
2025-08-01,6408.949523809524
2025-09-01,6584.018095238095
2025-10-01,6735.691739130435
2025-11-01,6740.885789473684
2025-12-01,6853.0254545454545
2026-01-01,6929.122
2026-02-01,6893.806315789474
2026-03-01,6654.419090909091
2026-04-01,6957.007619047619
2026-05-01,7215.4349999999995
